"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"86","Armenia","Urban Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1157200",""
"86","Armenia","Urban Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1152500",""
"262","Australia","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8863753","2"
"262","Australia","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8340547",""
"262","Australia","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7980406","6"
"262","Australia","Urban Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6749084",""
"262","Australia","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8639350","2"
"262","Australia","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8003865",""
"262","Australia","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7764126","6"
"262","Australia","Urban Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6567861",""
"151","Austria","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2803865","2"
"151","Austria","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2646187","2"
"151","Austria","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2564828","2"
"151","Austria","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2386002","2"
"88","Azerbaijan","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2186800",""
"88","Azerbaijan","Urban Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2171200",""
"88","Azerbaijan","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2122000",""
"88","Azerbaijan","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2112000",""
"88","Azerbaijan","Urban Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2102600",""
"88","Azerbaijan","Urban Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","2083562","2"
"88","Azerbaijan","Urban Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2093300",""
"88","Azerbaijan","Urban Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2079100",""
"88","Azerbaijan","Urban Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2063700",""
"88","Azerbaijan","Urban Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2057300",""
"88","Azerbaijan","Urban Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2042500",""
"88","Azerbaijan","Urban Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2021700",""
"88","Azerbaijan","Urban Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1937974","2"
"88","Azerbaijan","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2089500",""
"88","Azerbaijan","Urban Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2070800",""
"88","Azerbaijan","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2020200",""
"88","Azerbaijan","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2006800",""
"88","Azerbaijan","Urban Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1994300",""
"88","Azerbaijan","Urban Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1970022","2"
"88","Azerbaijan","Urban Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1981300",""
"88","Azerbaijan","Urban Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1993500",""
"88","Azerbaijan","Urban Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2006500",""
"88","Azerbaijan","Urban Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1988900",""
"88","Azerbaijan","Urban Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1977600",""
"88","Azerbaijan","Urban Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1969100",""
"88","Azerbaijan","Urban Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1867911","2"
"211","Bahamas","Urban Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","109519",""
"211","Bahamas","Urban Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","103575",""
"90","Bahrain","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","188781",""
"90","Bahrain","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","260555",""
"89","Bangladesh","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","14233696",""
"89","Bangladesh","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","10254849",""
"89","Bangladesh","Urban Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","6382240","4"
"89","Bangladesh","Urban Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","6072059","4"
"89","Bangladesh","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","16844256",""
"89","Bangladesh","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","12200225",""
"89","Bangladesh","Urban Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7605662","4"
"89","Bangladesh","Urban Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","7229924","4"
"155","Belarus","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3753885",""
"155","Belarus","Urban Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3743415",""
"155","Belarus","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3734801",""
"155","Belarus","Urban Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3682320","2"
"155","Belarus","Urban Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3689311",""
"155","Belarus","Urban Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3795320",""
"155","Belarus","Urban Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3773470",""
"155","Belarus","Urban Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3756623",""
"155","Belarus","Urban Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3746217",""
"155","Belarus","Urban Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3722076",""
"155","Belarus","Urban Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3736300",""
"155","Belarus","Urban Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3704100",""
"155","Belarus","Urban Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3504306","2"
"155","Belarus","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3296800",""
"155","Belarus","Urban Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3297535",""
"155","Belarus","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3299920",""
"155","Belarus","Urban Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3279196","2"
"155","Belarus","Urban Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3282317",""
