"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"31","Egypt","Total 15+ yr","1996","UNESCO_UIS Database_Sep2007","Ratio","0.65",""
"31","Egypt","Total 15+ yr","1986","UNESCO_UIS Database_Sep2007","Ratio","0.55",""
"243","El Salvador","Total 15+ yr","1992","UNESCO_UIS Database_Sep2007","Ratio","0.92",""
"41","Equatorial Guinea","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.86",""
"163","Estonia","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"163","Estonia","Total 15+ yr","1989","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"34","Ethiopia","Total 15+ yr","1994","UNESCO_UIS Database_Sep2007","Ratio","0.51",""
"36","Gabon","Total 15+ yr","1993","UNESCO_UIS Database_Sep2007","Ratio","0.82",""
"37","Ghana","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.75",""
"173","Greece","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.96",""
"173","Greece","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.93",""
"227","Guatemala","Total 15+ yr","2002","UNESCO_UIS Database_Sep2007","Ratio","0.84",""
"227","Guatemala","Total 15+ yr","1994","UNESCO_UIS Database_Sep2007","Ratio","0.80",""
"38","Guinea","Total 15+ yr","2003","UNESCO_UIS Database_Sep2007","Ratio","0.43",""
"230","Honduras","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","1.01",""
"99","India","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.65",""
"99","India","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.55",""
"98","Indonesia","Total 15+ yr","2004","UNESCO_UIS Database_Sep2007","Ratio","0.92",""
"98","Indonesia","Total 15+ yr","1990","UNESCO_UIS Database_Sep2007","Ratio","0.86",""
"101","Iran","Total 15+ yr","2005","UNESCO_UIS Database_Sep2007","Ratio","0.87",""
"101","Iran","Total 15+ yr","1996","UNESCO_UIS Database_Sep2007","Ratio","0.83",""
"101","Iran","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.76",""
"101","Iran","Total 15+ yr","1986","UNESCO_UIS Database_Sep2007","Ratio","0.65",""
