"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"199","Slovakia","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1088586","2"
"199","Slovakia","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1174294","2"
"199","Slovakia","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1168698","2"
"199","Slovakia","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1163493","2"
"199","Slovakia","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1158877","2"
"199","Slovakia","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1132760","2"
"199","Slovakia","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1123269","2"
"199","Slovakia","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1116551","2"
"199","Slovakia","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1124004","2"
"199","Slovakia","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1104080","2"
"199","Slovakia","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1128897","2"
"199","Slovakia","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1115499","2"
"200","Slovenia","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","497225","2"
"200","Slovenia","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","495264","2"
"200","Slovenia","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","487044","59"
"200","Slovenia","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","493302","2"
"200","Slovenia","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","502372","2"
"200","Slovenia","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","501048","2"
"200","Slovenia","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","493998",""
"200","Slovenia","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","485699","2"
"200","Slovenia","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","483434","2"
"200","Slovenia","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","479220","59"
"200","Slovenia","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","480954","2"
"200","Slovenia","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","488562","2"
"200","Slovenia","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","487153","2"
"200","Slovenia","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","478939",""
"68","Somalia","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2157149","67"
"68","Somalia","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2331113","67"
"79","South Africa","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11307978","4"
"79","South Africa","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","11059309","4"
"79","South Africa","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10817083","68"
"79","South Africa","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10523537","68"
"79","South Africa","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10308900","68"
"79","South Africa","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10098600","68"
"79","South Africa","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","9948806","69"
"79","South Africa","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9892600","68"
"79","South Africa","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6869958","70"
"79","South Africa","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","5327912","71"
"79","South Africa","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","10257955","4"
"79","South Africa","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9999892","4"
"79","South Africa","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9743422","68"
"79","South Africa","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9498388","68"
"79","South Africa","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9256300","68"
"79","South Africa","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","9020300","68"
"79","South Africa","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","8852960","69"
"79","South Africa","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","8790300","68"
"79","South Africa","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6565217","70"
"79","South Africa","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","4989390","71"
"162","Spain","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6805003",""
"162","Spain","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6796906",""
"113","Sri Lanka","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6846207","10"
"113","Sri Lanka","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","6650596","10"
"244","Suriname","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","76686","72"
"244","Suriname","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","80271","72"
"70","Swaziland","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","381392",""
"70","Swaziland","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","380667","4"
"70","Swaziland","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","359638","4"
"70","Swaziland","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","284437","73"
"70","Swaziland","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","333898",""
"70","Swaziland","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","319772","4"
"70","Swaziland","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","302134","4"
"70","Swaziland","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","241643","73"
"201","Sweden","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","674745","2"
"201","Sweden","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","747839","2"
"156","Switzerland","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","993178","2"
"156","Switzerland","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","988122","2"
"156","Switzerland","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","982997","2"
"156","Switzerland","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","977974","2"
"156","Switzerland","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1170258","2"
"156","Switzerland","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","974084","2"
"156","Switzerland","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","972594","2"
"156","Switzerland","Rural Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","969171","2"
"156","Switzerland","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","965940","2"
"156","Switzerland","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","962120","2"
"156","Switzerland","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","957791","2"
"156","Switzerland","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","950073","2"
"156","Switzerland","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","939249","2"
"156","Switzerland","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","926080","2"
"156","Switzerland","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","910832","2"
"156","Switzerland","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1057339","2"
"156","Switzerland","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","880305","2"
"156","Switzerland","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","866417","2"
"156","Switzerland","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","855387","2"
"156","Switzerland","Rural Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","846022","2"
"156","Switzerland","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","837895","2"
"156","Switzerland","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","830342","2"
"156","Switzerland","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","987915","2"
"156","Switzerland","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","982215","2"
"156","Switzerland","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","976367","2"
"156","Switzerland","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","971112","2"
"156","Switzerland","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1161808","2"
"156","Switzerland","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","968822","2"
"156","Switzerland","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","967748","2"
"156","Switzerland","Rural Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","964742","2"
"156","Switzerland","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","962351","2"
"156","Switzerland","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","959988","2"
"156","Switzerland","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","956085","2"
"156","Switzerland","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","949216","2"
"156","Switzerland","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","939709","2"
