"Table ID","Country or Area Code","Country or Area","Year","Value","Value Footnotes","Unit"
"164","8","Albania","2015","8","","%"
"164","8","Albania","2014","7","","%"
"164","8","Albania","2012","22","","%"
"164","8","Albania","2009","7.30000019073486","","%"
"164","8","Albania","2008","7.30000019073486","","%"
"164","8","Albania","2007","5.59999990463257","","%"
"164","8","Albania","2006","0.800000011920929","","%"
"164","8","Albania","2005","0.800000011920929","","%"
"164","12","Algeria","2015","65","","%"
"164","12","Algeria","2014","65","","%"
"164","12","Algeria","2013","65","","%"
"164","12","Algeria","2012","65","","%"
"164","12","Algeria","2011","61","","%"
"164","12","Algeria","2010","60","","%"
"164","12","Algeria","2009","56","","%"
"164","12","Algeria","2008","53","","%"
"164","12","Algeria","2007","48","","%"
"164","12","Algeria","2006","45","","%"
"164","12","Algeria","2005","39","","%"
"164","12","Algeria","2004","39","","%"
"164","12","Algeria","2003","32","","%"
"164","12","Algeria","2002","32","","%"
"164","12","Algeria","2001","30","","%"
"164","12","Algeria","2000","30","","%"
"164","20","Andorra","2015","100","","%"
"164","20","Andorra","2014","100","","%"
"164","20","Andorra","2013","100","","%"
"164","20","Andorra","2012","100","","%"
"164","20","Andorra","2011","100","","%"
"164","20","Andorra","2010","98","","%"
"164","20","Andorra","2009","98","","%"
"164","20","Andorra","2008","98","","%"
"164","20","Andorra","2007","98","","%"
"164","20","Andorra","2006","86.4000015258789","1","%"
"164","20","Andorra","2005","47.7000007629395","2","%"
"164","20","Andorra","2004","31.1000003814697","","%"
"164","20","Andorra","2003","19.6000003814697","","%"
"164","20","Andorra","2002","17.0799999237061","","%"
"164","20","Andorra","2001","3.5","","%"
"164","20","Andorra","2000","3.61999988555908","","%"
"164","20","Andorra","1999","3.74000000953674","","%"
"164","24","Angola","2011","17.7999992370605","","%"
"164","32","Argentina","2010","50.2099990844727","","%"
"164","32","Argentina","2001","42.5","","%"
"164","51","Armenia","2015","60.6114540100098","","%"
"164","51","Armenia","2014","59.4460411071777","","%"
"164","51","Armenia","2013","59.0092926025391","","%"
"164","51","Armenia","2012","55.5375709533691","","%"
"164","51","Armenia","2011","55.4020957946777","","%"
"164","51","Armenia","2010","55.1963157653809","","%"
"164","51","Armenia","2009","54.9379539489746","","%"
"164","51","Armenia","2008","54.6919479370117","","%"
"164","51","Armenia","2007","54.443717956543","","%"
"164","51","Armenia","2006","54.2429695129395","","%"
"164","51","Armenia","2005","54.0582160949707","","%"
"164","51","Armenia","2004","53.8681526184082","","%"
"164","51","Armenia","2003","53.6969947814941","","%"
"164","51","Armenia","2002","53.489501953125","","%"
"164","51","Armenia","2001","53.0225868225098","","%"
"164","51","Armenia","2000","52.7841453552246","","%"
"164","51","Armenia","1999","52.4556732177734","","%"
"164","51","Armenia","1998","52.0800018310547","","%"
"164","51","Armenia","1997","51.821159362793","","%"
"164","51","Armenia","1996","51.4449005126953","","%"
"164","51","Armenia","1995","50.1989135742188","","%"
"164","51","Armenia","1990","63.9000015258789","","%"
"164","40","Austria","2014","100","","%"
"164","40","Austria","2012","100","","%"
"164","40","Austria","2010","100","","%"
"164","40","Austria","2008","100","","%"
"164","40","Austria","2006","100","","%"
"164","40","Austria","2004","100","","%"
"164","40","Austria","2003","100","","%"
"164","40","Austria","2002","100","","%"
"164","40","Austria","2001","100","","%"
"164","40","Austria","2000","100","","%"
"164","40","Austria","1998","99","","%"
"164","40","Austria","1995","98","","%"
"164","40","Austria","1990","100","","%"
"164","31","Azerbaijan","2015","18.8999996185303","","%"
"164","31","Azerbaijan","2014","18.5","","%"
"164","31","Azerbaijan","2013","18.3999996185303","","%"
"164","31","Azerbaijan","2012","14.3999996185303","","%"
"164","31","Azerbaijan","2011","14.1000003814697","","%"
"164","31","Azerbaijan","2010","14.1000003814697","","%"
"164","31","Azerbaijan","2009","14.1000003814697","","%"
"164","31","Azerbaijan","2008","13.8000001907349","","%"
"164","31","Azerbaijan","2007","13.8999996185303","","%"
"164","31","Azerbaijan","2006","13.6000003814697","","%"
"164","31","Azerbaijan","2005","13.6000003814697","","%"
"164","31","Azerbaijan","2004","13.5","","%"
