pays,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020,country_official
Chypre du Nord,"5,695","5,771","5,810","5,835","5,718","5,536",The Republic of Cyprus
Grèce,"4,857","5,033","5,227","5,358","5,287","5,515",Hellenic Republic
Hong Kong (Chine),"5,474","5,458","5,472","5,430","5,430","5,510",Hong Kong Special Administrative Region of China
Croatie,"5,759","5,488","5,293","5,321","5,432","5,505",Republic of Croatia
Libye,"5,754","5,615","5,525","5,566","5,525","5,489",Libya
Mongolie,"4,874","4,907","4,955","5,125","5,285","5,456",Mongolia
Malaisie,"5,770","6,005","6,084","6,322","5,339","5,384",Malaysia
Viêt Nam,"5,360","5,061","5,074","5,103","5,175","5,353",Vietnam
Indonésie,"5,399","5,314","5,262","5,093","5,192","5,286",Republic of Indonesia
Côte d'Ivoire,"3,655","3,916","4,180","4,671","4,944","5,233",Republic of Côte d'Ivoire
Bénin,"3,340","3,484","3,657","4,141","4,883","5,216",Republic of Benin
Maldives,,,,,,"5,198",Republic of Maldives
Congo,"3,989","4,272","4,291","4,559","4,812","5,194",Republic of the Congo
Azerbaïdjan,"5,212","5,291","7,342","5,201","5,208","5,165",Republic of Azerbaijan
Macédoine du Nord,"5,007","5,121","5,175","5,185","5,274","5,160",Republic of North Macedonia
Ghana,"4,633","4,276","4,120","4,657","4,996","5,148",Republic of Ghana
Népal,"4,514","4,793","4,962","4,880","4,913","5,137",Federal Democratic Republic of Nepal
Turquie,"5,332","5,389","5,500","5,483","5,373","5,132",Republic of Turkey
Chine,"5,140","5,245","5,273","5,246","5,191","5,124",People's Republic of China
Turkménistan,"5,548","5,658","5,822","5,636","5,247","5,119",Turkmenistan
Bulgarie,"4,218","4,217","4,714","4,933","5,011","5,102",Republic of Bulgaria
Maroc,"5,013","5,151","5,235","5,254","5,208","5,095",Kingdom of Morocco
Cameroun,"4,252","4,513","4,695","4,975","5,044","5,085",Republic of Cameroon
Bhoutan,"5,253","5,196","5,011","5,082","5,082",,Kingdom of Bhutan
Somaliland,"5,073","5,057",,,,,Federal Republic of Somalia
Venezuela,"6,800","6,084","5,250","4,806","4,707","5,053",Venezuela
Algérie,"5,605","6,355","5,872","5,295","5,211","5,005",People's Democratic Republic of Algeria
Sénégal,"3,904","4,219","4,535","4,631","4,681","4,981",Republic of Senegal
Guinée,"3,656","3,607","3,507","3,964","4,534","4,949",Republic of Guinea
Niger,"3,845","3,856","4,028","4,166","4,628","4,910",Republic of the Niger
Laos,"4,876","4,876",,"4,623","4,796","4,889",Laos
Albanie,"4,959","4,655","4,644","4,586","4,719","4,883",Republic of Albania
Cambodge,"3,819","3,907","4,168","4,433","4,700","4,848",Kingdom of Cambodia
Bangladesh,"4,694","4,643","4,608","4,500","4,456","4,833",People's Republic of Bangladesh
Gabon,"3,896","4,121","4,465","4,758","4,799","4,829",Gabonese Republic
Afrique du Sud,"4,642","4,459","4,829","4,724","4,722","4,814",Republic of South Africa
Iraq,"4,677","4,575","4,497","4,456","4,437","4,785",Republic of Iraq
Liban,"4,839","5,129","5,225","5,358","5,197","4,772",Lebanese Republic
Burkina Faso,"3,587","3,739","4,032","4,424","4,587","4,769",Burkina Faso
Gambie,,,,,"4,516","4,751",Republic of the Gambia
Mali,"3,995","4,073","4,190","4,447","4,390","4,729",Republic of Mali
Nigeria,"5,268","4,875","5,074","5,155","5,265","4,724",Federal Republic of Nigeria
Arménie,"4,350","4,360","4,376","4,321","4,559","4,677",Republic of Armenia
Géorgie,"4,297","4,252","4,286","4,340","4,519","4,673",Georgia
Iran,"4,686","4,813","4,692","4,707","4,548","4,672",Iran
Somalie,,"5,440","5,151","4,982","4,668",,Federal Republic of Somalia
Jordanie,"5,192","5,303","5,336","5,161","4,906","4,633",Hashemite Kingdom of Jordan
Mozambique,"4,971",,"4,550","4,417","4,466","4,624",Republic of Mozambique
Kenya,"4,419","4,356","4,553","4,410","4,509","4,583",Republic of Kenya
