pays,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020
Angola,"4,033","3,866","3,795","3,795",,
Burundi,"2,906","2,905","2,905","2,905","3,775","3,775"
Zambie,"5,129","4,795","4,514","4,377","4,107","3,759"
Haïti,"4,518","4,028","3,603","3,582","3,597","3,721"
Lesotho,"4,898",,"3,808","3,808","3,802","3,653"
Inde,"4,565","4,404","4,315","4,190","4,015","3,573"
Malawi,"4,292","4,156","3,970","3,587","3,410","3,538"
Yémen,"4,077","3,724","3,593","3,355","3,380","3,527"
Botswana,"4,332","3,974","3,766","3,590","3,488","3,479"
Tanzanie,"3,781","3,666","3,349","3,303","3,231","3,476"
Centrafrique,"3,678",,"2,693","3,083","3,083","3,476"
Syrie,"3,006","3,069","3,462","3,462","3,462",
Rwanda,"3,465","3,515","3,471","3,408","3,334","3,312"
Zimbabwe,"4,610","4,193","3,875","3,692","3,663","3,299"
Soudan du Sud,,"3,832","3,591","3,254","2,853","2,817"
Afghanistan,"3,575","3,360","3,794","3,632","3,203","2,567"
